(GMT+00:00) Azores Time,Atlantic/Azores,Azores Standard Time
(GMT+00:00) East Greenland Time,America/Scoresbysund,Azores Standard Time
(GMT+00:00) Greenwich Mean Time,Etc/GMT,UTC
(GMT+00:00) Greenwich Mean Time - Abidjan,Africa/Abidjan,Greenwich Standard Time
(GMT+00:00) Greenwich Mean Time - Accra,Africa/Accra,Greenwich Standard Time
(GMT+00:00) Greenwich Mean Time - Bissau,Africa/Bissau,Greenwich Standard Time
(GMT+00:00) Greenwich Mean Time - Danmarkshavn,America/Danmarkshavn,UTC
(GMT+00:00) Greenwich Mean Time - Monrovia,Africa/Monrovia,Greenwich Standard Time
(GMT+00:00) Greenwich Mean Time - Reykjavik,Atlantic/Reykjavik,Greenwich Standard Time
(GMT+00:00) Greenwich Mean Time - São Tomé,Africa/Sao_Tome,W. Central Africa Standard Time
(GMT+01:00) Central European Standard Time - Algiers,Africa/Algiers,W. Central Africa Standard Time
(GMT+01:00) Central European Standard Time - Tunis,Africa/Tunis,W. Central Africa Standard Time
(GMT+01:00) Ireland Time,Europe/Dublin,GMT Standard Time
(GMT+01:00) Morocco Time,Africa/Casablanca,Morocco Standard Time
(GMT+01:00) United Kingdom Time,Europe/London,GMT Standard Time
(GMT+01:00) West Africa Standard Time - Lagos,Africa/Lagos,W. Central Africa Standard Time
(GMT+01:00) West Africa Standard Time - Ndjamena,Africa/Ndjamena,W. Central Africa Standard Time
(GMT+01:00) Western European Time - Canary,Atlantic/Canary,GMT Standard Time
(GMT+01:00) Western Sahara Time,Africa/El_Aaiun,Morocco Standard Time
(GMT+02:00) Central Africa Time - Khartoum,Africa/Khartoum,Sudan Standard Time
(GMT+02:00) Central Africa Time - Maputo,Africa/Maputo,South Africa Standard Time
(GMT+02:00) Central Africa Time - Windhoek,Africa/Windhoek,Namibia Standard Time
(GMT+02:00) Central European Time - Amsterdam,Europe/Amsterdam,W. Europe Standard Time
(GMT+02:00) Central European Time - Andorra,Europe/Andorra,W. Europe Standard Time
(GMT+02:00) Central European Time - Belgrade,Europe/Belgrade,Central Europe Standard Time
(GMT+02:00) Central European Time - Berlin,Europe/Berlin,W. Europe Standard Time
(GMT+02:00) Central European Time - Brussels,Europe/Brussels,Romance Standard Time
(GMT+02:00) Central European Time - Budapest,Europe/Budapest,Central Europe Standard Time
(GMT+02:00) Central European Time - Copenhagen,Europe/Copenhagen,Romance Standard Time
(GMT+02:00) Central European Time - Gibraltar,Europe/Gibraltar,W. Europe Standard Time
(GMT+02:00) Central European Time - Luxembourg,Europe/Luxembourg,W. Europe Standard Time
(GMT+02:00) Central European Time - Malta,Europe/Malta,W. Europe Standard Time
(GMT+02:00) Central European Time - Monaco,Europe/Monaco,W. Europe Standard Time
(GMT+02:00) Central European Time - Oslo,Europe/Oslo,W. Europe Standard Time
(GMT+02:00) Central European Time - Paris,Europe/Paris,Romance Standard Time
(GMT+02:00) Central European Time - Prague,Europe/Prague,Central Europe Standard Time
(GMT+02:00) Central European Time - Rome,Europe/Rome,W. Europe Standard Time
(GMT+02:00) Central European Time - Stockholm,Europe/Stockholm,W. Europe Standard Time
(GMT+02:00) Central European Time - Tirane,Europe/Tirane,Central Europe Standard Time
(GMT+02:00) Central European Time - Vienna,Europe/Vienna,W. Europe Standard Time
(GMT+02:00) Central European Time - Warsaw,Europe/Warsaw,Central European Standard Time
(GMT+02:00) Central European Time - Zurich,Europe/Zurich,W. Europe Standard Time
(GMT+02:00) Eastern European Standard Time - Cairo,Africa/Cairo,Egypt Standard Time
(GMT+02:00) Eastern European Standard Time - Kaliningrad,Europe/Kaliningrad,Kaliningrad Standard Time
(GMT+02:00) Eastern European Standard Time - Tripoli,Africa/Tripoli,Libya Standard Time
(GMT+02:00) Eastern European Time (Syria) - Damascus,Asia/Damascus,Syria Standard Time
(GMT+02:00) South Africa Standard Time,Africa/Johannesburg,South Africa Standard Time
(GMT+03:00) Arabian Standard Time - Baghdad,Asia/Baghdad,Arabic Standard Time
(GMT+03:00) Arabian Standard Time - Qatar,Asia/Qatar,Arab Standard Time
(GMT+03:00) Arabian Standard Time - Riyadh,Asia/Riyadh,Arab Standard Time
(GMT+03:00) East Africa Time - Juba,Africa/Juba,E. Africa Standard Time
(GMT+03:00) East Africa Time - Nairobi,Africa/Nairobi,E. Africa Standard Time
(GMT+03:00) Eastern European Time - Amman,Asia/Amman,Jordan Standard Time
(GMT+03:00) Eastern European Time - Athens,Europe/Athens,GTB Standard Time
(GMT+03:00) Eastern European Time - Beirut,Asia/Beirut,Middle East Standard Time
(GMT+03:00) Eastern European Time - Bucharest,Europe/Bucharest,GTB Standard Time
(GMT+03:00) Eastern European Time - Chisinau,Europe/Chisinau,E. Europe Standard Time
(GMT+03:00) Eastern European Time - Hebron,Asia/Hebron,West Bank Standard Time
(GMT+03:00) Eastern European Time - Helsinki,Europe/Helsinki,FLE Standard Time
(GMT+03:00) Eastern European Time - Kiev,Europe/Kiev,FLE Standard Time
(GMT+03:00) Eastern European Time - Riga,Europe/Riga,FLE Standard Time
(GMT+03:00) Eastern European Time - Sofia,Europe/Sofia,FLE Standard Time
(GMT+03:00) Eastern European Time - Tallinn,Europe/Tallinn,FLE Standard Time
(GMT+03:00) Eastern European Time - Vilnius,Europe/Vilnius,FLE Standard Time
(GMT+03:00) Israel Time,Asia/Jerusalem,Israel Standard Time
(GMT+03:00) Moscow Standard Time - Minsk,Europe/Minsk,Belarus Standard Time
(GMT+03:00) Moscow Standard Time - Moscow,Europe/Moscow,Russian Standard Time
(GMT+03:00) Moscow Standard Time - Simferopol,Europe/Simferopol,Russian Standard Time
(GMT+03:00) Syowa Time,Antarctica/Syowa,E. Africa Standard Time
(GMT+03:00) Turkey Time,Europe/Istanbul,Turkey Standard Time
(GMT+03:30) Iran Time,Asia/Tehran,Iran Standard Time
(GMT+04:00) Armenia Standard Time,Asia/Yerevan,Caucasus Standard Time
(GMT+04:00) Astrakhan Time,Europe/Astrakhan,Astrakhan Standard Time
(GMT+04:00) Azerbaijan Standard Time,Asia/Baku,Azerbaijan Standard Time
(GMT+04:00) Georgia Standard Time,Asia/Tbilisi,Georgian Standard Time
(GMT+04:00) Gulf Standard Time,Asia/Dubai,Arabian Standard Time
(GMT+04:00) Mauritius Standard Time,Indian/Mauritius,Mauritius Standard Time
(GMT+04:00) Réunion Time,Indian/Reunion,Mauritius Standard Time
(GMT+04:00) Samara Standard Time,Europe/Samara,Russia Time Zone 3
(GMT+04:00) Saratov Time,Europe/Saratov,Saratov Standard Time
(GMT+04:00) Seychelles Time,Indian/Mahe,Mauritius Standard Time
(GMT+04:30) Afghanistan Time,Asia/Kabul,Afghanistan Standard Time
(GMT+05:00) French Southern & Antarctic Time,Indian/Kerguelen,West Asia Standard Time
(GMT+05:00) Maldives Time,Indian/Maldives,West Asia Standard Time
(GMT+05:00) Mawson Time,Antarctica/Mawson,West Asia Standard Time
(GMT+05:00) Pakistan Standard Time,Asia/Karachi,Pakistan Standard Time
(GMT+05:00) Tajikistan Time,Asia/Dushanbe,West Asia Standard Time
(GMT+05:00) Turkmenistan Standard Time,Asia/Ashgabat,West Asia Standard Time
(GMT+05:00) Uzbekistan Standard Time - Tashkent,Asia/Tashkent,West Asia Standard Time
(GMT+05:00) Yekaterinburg Standard Time,Asia/Yekaterinburg,Ekaterinburg Standard Time
(GMT+05:30) India Standard Time - Colombo,Asia/Colombo,Sri Lanka Standard Time
(GMT+06:00) Bangladesh Standard Time,Asia/Dhaka,Bangladesh Standard Time
(GMT+06:00) Bhutan Time,Asia/Thimphu,Bangladesh Standard Time
(GMT+06:00) East Kazakhstan Time - Almaty,Asia/Almaty,Central Asia Standard Time
(GMT+06:00) Indian Ocean Time,Indian/Chagos,Central Asia Standard Time
(GMT+06:00) Kyrgyzstan Time,Asia/Bishkek,Central Asia Standard Time
(GMT+06:00) Omsk Standard Time,Asia/Omsk,Omsk Standard Time
(GMT+06:00) Urumqi Time,Asia/Urumqi,Central Asia Standard Time
(GMT+06:00) Vostok Time,Antarctica/Vostok,Central Asia Standard Time
(GMT+06:30) Cocos Islands Time,Indian/Cocos,Myanmar Standard Time
(GMT+07:00) Barnaul Time,Asia/Barnaul,Altai Standard Time
(GMT+07:00) Christmas Island Time,Indian/Christmas,SE Asia Standard Time
(GMT+07:00) Davis Time,Antarctica/Davis,SE Asia Standard Time
(GMT+07:00) Hovd Standard Time,Asia/Hovd,W. Mongolia Standard Time
(GMT+07:00) Indochina Time - Bangkok,Asia/Bangkok,SE Asia Standard Time
(GMT+07:00) Krasnoyarsk Standard Time - Krasnoyarsk,Asia/Krasnoyarsk,North Asia Standard Time
(GMT+07:00) Novosibirsk Standard Time,Asia/Novosibirsk,N. Central Asia Standard Time
(GMT+07:00) Tomsk Time,Asia/Tomsk,Tomsk Standard Time
(GMT+08:00) Australian Western Standard Time - Casey,Antarctica/Casey,W. Australia Standard Time
(GMT+08:00) Australian Western Standard Time - Perth,Australia/Perth,W. Australia Standard Time
(GMT+08:00) Brunei Darussalam Time,Asia/Brunei,Singapore Standard Time
(GMT+08:00) Central Indonesia Time,Asia/Makassar,Singapore Standard Time
(GMT+08:00) China Standard Time - Macao,Asia/Macau,China Standard Time
(GMT+08:00) China Standard Time - Shanghai,Asia/Shanghai,China Standard Time
(GMT+08:00) Hong Kong Standard Time,Asia/Hong_Kong,China Standard Time
(GMT+08:00) Irkutsk Standard Time,Asia/Irkutsk,North Asia East Standard Time
(GMT+08:00) Philippine Standard Time,Asia/Manila,Singapore Standard Time
(GMT+08:00) Singapore Standard Time,Asia/Singapore,Singapore Standard Time
(GMT+08:00) Taipei Standard Time,Asia/Taipei,Taipei Standard Time
(GMT+08:00) Ulaanbaatar Standard Time,Asia/Ulaanbaatar,Ulaanbaatar Standard Time
(GMT+08:45) Australian Central Western Standard Time,Australia/Eucla,Aus Central W. Standard Time
(GMT+09:00) East Timor Time,Asia/Dili,Tokyo Standard Time
(GMT+09:00) Eastern Indonesia Time,Asia/Jayapura,Tokyo Standard Time
(GMT+09:00) Japan Standard Time,Asia/Tokyo,Tokyo Standard Time
(GMT+09:00) Korean Standard Time - Pyongyang,Asia/Pyongyang,North Korea Standard Time
(GMT+09:00) Korean Standard Time - Seoul,Asia/Seoul,Korea Standard Time
(GMT+09:00) Palau Time,Pacific/Palau,Tokyo Standard Time
(GMT+09:00) Yakutsk Standard Time - Chita,Asia/Chita,Transbaikal Standard Time
(GMT+09:00) Yakutsk Standard Time - Yakutsk,Asia/Yakutsk,Yakutsk Standard Time
(GMT+09:30) Australian Central Standard Time,Australia/Darwin,AUS Central Standard Time
(GMT+10:00) Australian Eastern Standard Time - Brisbane,Australia/Brisbane,E. Australia Standard Time
(GMT+10:00) Chamorro Standard Time,Pacific/Guam,West Pacific Standard Time
(GMT+10:00) Dumont-d'Urville Time,Antarctica/DumontDUrville,West Pacific Standard Time
(GMT+10:00) Papua New Guinea Time,Pacific/Port_Moresby,West Pacific Standard Time
(GMT+10:00) Vladivostok Standard Time - Vladivostok,Asia/Vladivostok,Vladivostok Standard Time
(GMT+10:30) Central Australia Time - Adelaide,Australia/Adelaide,Cen. Australia Standard Time
(GMT+11:00) Bougainville Time,Pacific/Bougainville,Bougainville Standard Time
(GMT+11:00) Eastern Australia Time - Hobart,Australia/Hobart,Tasmania Standard Time
(GMT+11:00) Eastern Australia Time - Sydney,Australia/Sydney,AUS Eastern Standard Time
