129.0.0.0,129.0.255.255,CM
129.1.0.0,129.10.255.255,US
129.11.0.0,129.12.255.255,GB
129.13.0.0,129.13.255.255,DE
129.14.0.0,129.15.255.255,US
129.16.0.0,129.16.255.255,SE
129.17.0.0,129.17.255.255,US
129.18.0.0,129.18.255.255,NG
129.19.0.0,129.19.255.255,US
129.20.0.0,129.20.255.255,FR
129.21.0.0,129.25.255.255,US
129.26.0.0,129.26.255.255,DE
129.27.0.0,129.27.255.255,AT
129.28.0.0,129.28.255.255,CN
129.29.0.0,129.30.255.255,US
129.31.0.0,129.31.255.255,GB
129.32.0.0,129.33.159.255,US
129.33.160.0,129.33.191.255,CA
129.33.192.0,129.35.23.255,US
129.35.24.0,129.35.25.255,FR
129.35.26.0,129.35.26.255,US
129.35.27.0,129.35.27.255,GB
129.35.28.0,129.35.30.255,US
129.35.31.0,129.35.31.255,FI
129.35.32.0,129.35.61.255,US
129.35.62.0,129.35.63.255,DE
129.35.64.0,129.35.95.255,GB
129.35.96.0,129.35.102.255,US
129.35.103.0,129.35.103.255,ES
129.35.104.0,129.35.107.255,US
129.35.108.0,129.35.108.255,ES
129.35.109.0,129.35.109.255,US
129.35.110.0,129.35.110.255,ES
129.35.111.0,129.35.111.255,US
129.35.112.0,129.35.117.255,IT
129.35.118.0,129.35.119.255,US
129.35.120.0,129.35.121.255,IT
129.35.122.0,129.35.122.255,US
129.35.123.0,129.35.127.255,IT
129.35.128.0,129.35.143.255,US
129.35.144.0,129.35.151.255,GB
129.35.152.0,129.35.153.255,DE
129.35.154.0,129.35.155.255,GB
129.35.156.0,129.35.156.255,PL
129.35.157.0,129.35.158.255,DE
129.35.159.0,129.35.159.255,GB
129.35.160.0,129.35.175.255,FR
129.35.176.0,129.35.177.255,DE
129.35.178.0,129.35.182.255,US
129.35.183.0,129.35.183.255,DE
129.35.184.0,129.35.187.255,US
129.35.188.0,129.35.188.255,GB
129.35.189.0,129.35.189.255,UA
129.35.190.0,129.35.190.255,CA
129.35.191.0,129.35.207.255,DE
129.35.208.0,129.35.215.255,US
129.35.216.0,129.35.223.255,DE
129.35.224.0,129.35.224.255,GB
129.35.225.0,129.35.229.255,DE
129.35.230.0,129.35.231.255,US
129.35.232.0,129.35.236.255,GB
129.35.237.0,129.35.237.255,DE
129.35.238.0,129.35.238.255,US
129.35.239.0,129.35.239.255,DE
129.35.240.0,129.35.240.255,US
129.35.241.0,129.35.241.255,GB
129.35.242.0,129.36.5.255,US
129.36.6.0,129.36.6.255,GB
129.36.7.0,129.36.9.255,US
129.36.10.0,129.36.10.255,GB
129.36.11.0,129.36.16.255,US
129.36.17.0,129.36.17.255,GB
129.36.18.0,129.36.19.255,US
129.36.20.0,129.36.20.255,GB
129.36.21.0,129.36.21.255,US
129.36.22.0,129.36.22.255,GB
129.36.23.0,129.36.26.255,US
129.36.27.0,129.36.28.255,GB
129.36.29.0,129.36.29.255,US
129.36.30.0,129.36.30.255,GB
129.36.31.0,129.36.32.255,US
129.36.33.0,129.36.33.255,GB
129.36.34.0,129.36.37.255,US
129.36.38.0,129.36.40.255,GB
129.36.41.0,129.36.44.255,US
129.36.45.0,129.36.45.255,GB
129.36.46.0,129.36.49.255,US
129.36.50.0,129.36.50.255,GB
129.36.51.0,129.36.53.255,US
129.36.54.0,129.36.54.255,GB
129.36.55.0,129.36.55.255,US
129.36.56.0,129.36.56.255,GB
129.36.57.0,129.36.59.255,US
129.36.60.0,129.36.61.255,GB
129.36.62.0,129.36.63.255,US
129.36.64.0,129.36.64.255,GB
129.36.65.0,129.36.65.255,US
129.36.66.0,129.36.66.255,GB
129.36.67.0,129.36.69.255,US
129.36.70.0,129.36.72.255,GB
129.36.73.0,129.36.79.255,US
129.36.80.0,129.36.81.255,GB
129.36.82.0,129.36.82.255,US
129.36.83.0,129.36.84.255,GB
129.36.85.0,129.36.85.255,US
129.36.86.0,129.36.86.255,GB
129.36.87.0,129.36.88.255,US
129.36.89.0,129.36.89.255,GB
129.36.90.0,129.36.95.255,US
129.36.96.0,129.36.97.255,GB
129.36.98.0,129.36.98.255,US
129.36.99.0,129.36.100.255,GB
129.36.101.0,129.36.101.255,US
129.36.102.0,129.36.103.255,GB
129.36.104.0,129.36.104.255,US
129.36.105.0,129.36.106.255,GB
129.36.107.0,129.36.107.255,US
129.36.108.0,129.36.108.255,GB
129.36.109.0,129.36.115.255,US
129.36.116.0,129.36.118.255,GB
129.36.119.0,129.36.121.255,US
129.36.122.0,129.36.125.255,GB
129.36.126.0,129.36.126.255,US
129.36.127.0,129.36.127.255,GB
129.36.128.0,129.36.129.255,US
129.36.130.0,129.36.130.255,GB
129.36.131.0,129.36.131.255,US
129.36.132.0,129.36.132.255,GB
129.36.133.0,129.36.139.255,US
129.36.140.0,129.36.140.255,GB
129.36.141.0,129.36.142.255,US
129.36.143.0,129.36.144.255,GB
129.36.145.0,129.36.149.255,US
129.36.150.0,129.36.150.255,GB
129.36.151.0,129.36.152.255,US
129.36.153.0,129.36.156.255,GB
129.36.157.0,129.36.157.255,US
129.36.158.0,129.36.158.255,GB
