155.0.0.0,155.0.255.255,ZM
155.1.0.0,155.2.255.255,US
155.3.0.0,155.3.255.255,CA
155.4.0.0,155.4.255.255,SE
155.5.0.0,155.6.255.255,LS
155.7.0.0,155.9.255.255,US
155.10.0.0,155.10.255.255,CA
155.11.0.0,155.11.255.255,EG
155.12.0.0,155.12.127.255,TZ
155.12.128.0,155.12.191.255,EG
155.12.192.0,155.12.223.255,CM
155.12.224.0,155.12.255.255,GH
155.13.0.0,155.14.138.255,US
155.14.139.0,155.14.140.255,SG
155.14.141.0,155.14.165.255,US
155.14.166.0,155.14.166.255,SG
155.14.167.0,155.14.194.255,US
155.14.195.0,155.14.195.255,SG
155.14.196.0,155.14.255.255,US
155.15.0.0,155.15.255.255,CA
155.16.0.0,155.20.68.255,US
155.20.69.0,155.20.69.255,GB
155.20.70.0,155.20.162.255,US
155.20.163.0,155.20.163.255,LS
155.20.164.0,155.20.167.255,US
155.20.168.0,155.20.169.255,GB
155.20.170.0,155.20.215.255,US
155.20.216.0,155.20.217.255,DE
155.20.218.0,155.20.218.255,GB
155.20.219.0,155.23.255.255,US
155.24.0.0,155.24.255.255,DE
155.25.0.0,155.29.220.255,US
155.29.221.0,155.29.221.255,GB
155.29.222.0,155.30.119.255,US
155.30.120.0,155.30.120.255,DE
155.30.121.0,155.30.121.255,US
155.30.122.0,155.30.123.255,DE
155.30.124.0,155.30.219.255,US
155.30.220.0,155.30.220.255,DE
155.30.221.0,155.31.255.255,US
155.32.0.0,155.32.255.255,NZ
155.33.0.0,155.35.0.255,US
155.35.1.0,155.35.1.255,IN
155.35.2.0,155.35.33.255,US
155.35.34.0,155.35.35.255,IN
155.35.36.0,155.35.45.255,US
155.35.46.0,155.35.47.255,IN
155.35.48.0,155.35.225.255,US
155.35.226.0,155.35.226.255,AU
155.35.227.0,155.35.231.255,US
155.35.232.0,155.35.232.255,IN
155.35.233.0,155.45.127.255,US
155.45.128.0,155.45.143.255,SG
155.45.144.0,155.45.159.255,US
155.45.160.0,155.45.191.255,DE
155.45.192.0,155.45.207.255,US
155.45.208.0,155.45.215.255,DE
155.45.216.0,155.45.239.255,US
155.45.240.0,155.45.247.255,DE
155.45.248.0,155.45.254.255,US
155.45.255.0,155.45.255.255,DE
155.46.0.0,155.46.19.255,US
155.46.20.0,155.46.20.255,GB
155.46.21.0,155.46.23.255,US
155.46.24.0,155.46.27.255,GB
155.46.28.0,155.46.35.255,US
155.46.36.0,155.46.36.255,GB
