169.0.0.0,169.1.255.255,ZA
169.2.0.0,169.31.255.255,US
169.32.0.0,169.37.255.255,CH
169.38.0.0,169.38.63.255,US
169.38.64.0,169.38.65.63,IN
169.38.65.64,169.38.65.239,KR
169.38.65.240,169.38.66.255,IN
169.38.67.0,169.38.67.255,KR
169.38.68.0,169.38.69.159,IN
169.38.69.160,169.38.69.255,KR
169.38.70.0,169.38.74.63,IN
169.38.74.64,169.38.74.255,KR
169.38.75.0,169.38.76.191,IN
169.38.76.192,169.38.76.255,KR
169.38.77.0,169.38.79.223,IN
169.38.79.224,169.38.79.255,PK
169.38.80.0,169.38.80.255,CN
169.38.81.0,169.38.82.135,IN
169.38.82.136,169.38.82.255,KR
169.38.83.0,169.38.83.255,IN
169.38.84.0,169.38.84.255,KR
169.38.85.0,169.38.87.255,IN
169.38.88.0,169.38.88.255,KR
169.38.89.0,169.38.91.159,IN
169.38.91.160,169.38.91.255,US
169.38.92.0,169.38.94.95,IN
169.38.94.96,169.38.94.159,CN
169.38.94.160,169.38.96.15,IN
169.38.96.16,169.38.96.255,IE
169.38.97.0,169.38.103.79,IN
169.38.103.80,169.38.103.239,SG
169.38.103.240,169.38.105.63,IN
169.38.105.64,169.38.105.127,KR
169.38.105.128,169.38.115.63,IN
169.38.115.64,169.38.115.255,US
169.38.116.0,169.38.118.255,IN
169.38.119.0,169.38.119.191,KR
169.38.119.192,169.38.123.191,IN
169.38.123.192,169.38.123.255,KR
169.38.124.0,169.38.126.63,IN
169.38.126.64,169.38.126.255,US
169.38.127.0,169.38.148.191,IN
169.38.148.192,169.38.149.63,GB
169.38.149.64,169.38.152.191,IN
169.38.152.192,169.38.153.191,GB
169.38.153.192,169.38.155.255,IN
169.38.156.0,169.38.157.63,FR
169.38.157.64,169.38.158.63,IN
169.38.158.64,169.38.159.127,FR
169.38.159.128,169.38.160.255,IN
169.38.161.0,169.38.162.63,GB
169.38.162.64,169.38.163.63,US
169.38.163.64,169.38.164.63,GB
169.38.164.64,169.38.165.255,IN
169.38.166.0,169.38.166.63,FR
169.38.166.64,169.38.167.255,IN
169.38.168.0,169.38.168.255,GB
169.38.169.0,169.38.169.255,IN
169.38.170.0,169.38.170.191,GB
169.38.170.192,169.38.172.63,IN
169.38.172.64,169.38.172.127,GB
169.38.172.128,169.38.175.127,IN
169.38.175.128,169.38.175.255,GB
169.38.176.0,169.38.176.255,IN
169.38.177.0,169.38.178.63,FR
169.38.178.64,169.38.178.127,GB
169.38.178.128,169.38.180.63,IN
169.38.180.64,169.38.180.127,GB
169.38.180.128,169.38.182.127,IN
169.38.182.128,169.38.183.63,GB
169.38.183.64,169.38.183.255,IN
169.38.184.0,169.38.184.255,GB
169.38.185.0,169.38.185.191,IN
169.38.185.192,169.38.186.255,US
169.38.187.0,169.38.187.191,GB
169.38.187.192,169.38.188.127,FR
169.38.188.128,169.38.189.255,IN
169.38.190.0,169.38.190.63,GB
169.38.190.64,169.38.191.255,IN
169.38.192.0,169.38.255.255,US
169.39.0.0,169.39.255.255,CH
169.40.0.0,169.40.255.255,US
169.41.0.0,169.43.255.255,CH
169.44.0.0,169.44.80.223,US
169.44.80.224,169.44.80.255,HK
169.44.81.0,169.44.89.191,US
169.44.89.192,169.44.89.255,SG
169.44.90.0,169.44.91.223,US
169.44.91.224,169.44.91.255,SG
169.44.92.0,169.44.93.31,US
169.44.93.32,169.44.93.255,SG
169.44.94.0,169.44.128.191,US
169.44.128.192,169.44.128.255,JP
169.44.129.0,169.44.131.31,US
169.44.131.32,169.44.131.255,JP
169.44.132.0,169.44.138.207,US
169.44.138.208,169.44.138.255,JP
169.44.139.0,169.44.141.128,US
169.44.141.129,169.44.141.255,JP
169.44.142.0,169.44.143.95,US
169.44.143.96,169.44.143.255,TW
169.44.144.0,169.44.158.31,US
169.44.158.32,169.44.159.15,JP
169.44.159.16,169.44.165.15,US
169.44.165.16,169.44.165.255,SG
169.44.166.0,169.44.168.135,US
169.44.168.136,169.44.168.207,GB
169.44.168.208,169.44.180.239,US
169.44.180.240,169.44.180.255,JP
169.44.181.0,169.44.183.255,US
169.44.184.0,169.44.184.255,SG
169.44.185.0,169.44.187.47,US
169.44.187.48,169.44.187.255,JP
169.44.188.0,169.45.6.191,US
169.45.6.192,169.45.6.223,MX
169.45.6.224,169.45.14.7,US
169.45.14.8,169.45.14.223,NL
169.45.14.224,169.45.16.63,US
169.45.16.64,169.45.16.255,GB
169.45.17.0,169.45.18.255,US
169.45.19.0,169.45.19.255,AU
169.45.20.0,169.45.22.31,US
169.45.22.32,169.45.22.255,BR
169.45.23.0,169.45.32.191,US
169.45.32.192,169.45.34.79,CA
169.45.34.80,169.45.34.255,US
169.45.35.0,169.45.37.63,CA
169.45.37.64,169.45.37.255,US
169.45.38.0,169.45.39.191,CA
169.45.39.192,169.45.39.255,US
169.45.40.0,169.45.41.127,CA
169.45.41.128,169.45.41.255,US
169.45.42.0,169.45.43.7,CA
169.45.43.8,169.45.43.127,US
169.45.43.128,169.45.48.255,CA
169.45.49.0,169.45.49.255,US
169.45.50.0,169.45.51.255,CA
169.45.52.0,169.45.52.95,US
169.45.52.96,169.45.60.191,CA
169.45.60.192,169.45.62.127,US
169.45.62.128,169.45.63.255,CA
169.45.64.0,169.45.65.223,US
169.45.65.224,169.45.65.255,PH
169.45.66.0,169.45.66.255,JP
169.45.67.0,169.45.68.47,US
169.45.68.48,169.45.68.255,JP
169.45.69.0,169.45.70.103,US
169.45.70.104,169.45.70.255,JP
169.45.71.0,169.45.71.255,US
169.45.72.0,169.45.72.255,GB
169.45.73.0,169.45.74.31,US
169.45.74.32,169.45.74.223,JP
169.45.74.224,169.45.77.191,US
169.45.77.192,169.45.77.255,JP
169.45.78.0,169.45.79.63,US
169.45.79.64,169.45.79.255,GB
169.45.80.0,169.45.83.191,US
