5.0.0.0,5.0.255.255,SY
5.1.0.0,5.1.31.255,UA
5.1.32.0,5.1.39.255,ES
5.1.40.0,5.1.40.255,KW
5.1.41.0,5.1.41.255,SA
5.1.42.0,5.1.42.255,BH
5.1.43.0,5.1.43.255,LB
5.1.44.0,5.1.44.255,AE
5.1.45.0,5.1.45.255,QA
5.1.46.0,5.1.46.255,OM
5.1.47.0,5.1.47.255,JO
5.1.48.0,5.1.55.255,RU
5.1.56.0,5.1.63.255,CZ
5.1.64.0,5.1.67.255,DE
5.1.68.0,5.1.69.255,GB
5.1.70.0,5.1.82.255,DE
5.1.83.0,5.1.83.255,GB
5.1.84.0,5.1.87.255,DE
5.1.88.0,5.1.88.255,GB
5.1.89.0,5.1.95.255,DE
5.1.96.0,5.1.103.255,CH
5.1.104.0,5.1.106.255,IQ
5.1.107.0,5.1.107.255,TR
5.1.108.0,5.1.111.255,IQ
5.1.112.0,5.1.112.255,CH
5.1.113.0,5.1.114.255,US
5.1.115.0,5.1.118.255,CH
5.1.119.0,5.1.119.255,US
5.1.120.0,5.1.255.255,DE
5.2.0.0,5.2.15.255,IT
5.2.16.0,5.2.23.255,GB
5.2.24.0,5.2.31.255,ES
5.2.32.0,5.2.63.255,RU
5.2.64.0,5.2.65.79,NL
5.2.65.80,5.2.65.255,BE
5.2.66.0,5.2.79.255,NL
5.2.80.0,5.2.87.255,TR
5.2.88.0,5.2.95.255,ES
5.2.96.0,5.2.127.255,GB
5.2.128.0,5.2.255.255,RO
5.3.0.0,5.3.255.255,RU
5.4.0.0,5.7.255.255,DE
5.8.0.0,5.8.17.255,RU
5.8.18.0,5.8.18.255,CY
5.8.19.0,5.8.23.255,RU
5.8.24.0,5.8.25.255,US
5.8.26.0,5.8.27.255,SG
5.8.28.0,5.8.31.255,RU
5.8.32.0,5.8.35.255,NL
5.8.36.0,5.8.39.255,RU
5.8.40.0,5.8.40.255,NL
5.8.41.0,5.8.41.255,US
5.8.42.0,5.8.45.127,RU
5.8.45.128,5.8.45.255,CL
5.8.46.0,5.8.46.127,AR
5.8.46.128,5.8.62.255,RU
5.8.63.0,5.8.63.255,US
5.8.64.0,5.8.67.255,RU
5.8.68.0,5.8.69.255,LU
5.8.70.0,5.8.71.255,JP
5.8.72.0,5.8.87.255,RU
5.8.88.0,5.8.91.255,GB
5.8.92.0,5.8.93.255,US
5.8.94.0,5.8.94.255,DE
5.8.95.0,5.8.95.255,RU
5.8.96.0,5.8.127.255,IT
5.8.128.0,5.8.159.255,LB
5.8.160.0,5.8.183.255,RU
5.8.184.0,5.8.191.255,ES
5.8.192.0,5.8.239.255,RU
