54.0.0.0,54.35.255.255,US
54.36.0.0,54.36.0.255,FR
54.36.1.0,54.36.1.255,PT
54.36.2.0,54.36.3.15,FR
54.36.3.16,54.36.4.127,ES
54.36.4.128,54.36.4.255,FR
54.36.5.0,54.36.5.255,DE
54.36.6.0,54.36.9.15,FR
54.36.9.16,54.36.9.255,NL
54.36.10.0,54.36.10.255,FR
54.36.11.0,54.36.11.255,IT
54.36.12.0,54.36.14.127,FR
54.36.14.128,54.36.14.255,NL
54.36.15.0,54.36.16.15,FR
54.36.16.16,54.36.16.255,BE
54.36.17.0,54.36.17.255,IT
54.36.18.0,54.36.18.255,FR
54.36.19.0,54.36.19.255,DE
54.36.20.0,54.36.20.255,GB
54.36.21.0,54.36.23.71,FR
54.36.23.72,54.36.23.255,ES
54.36.24.0,54.36.25.127,BE
54.36.25.128,54.36.26.255,FR
54.36.27.0,54.36.27.255,ES
54.36.28.0,54.36.28.255,NL
54.36.29.0,54.36.29.255,GB
54.36.30.0,54.36.31.95,FR
54.36.31.96,54.36.31.255,PT
54.36.32.0,54.36.32.255,FR
54.36.33.0,54.36.33.255,NL
54.36.34.0,54.36.34.255,PL
54.36.35.0,54.36.36.15,FR
54.36.36.16,54.36.36.255,GB
54.36.37.0,54.36.39.3,FR
54.36.39.4,54.36.39.255,IT
54.36.40.0,54.36.40.255,FR
54.36.41.0,54.36.41.255,NL
54.36.42.0,54.36.43.7,FR
54.36.43.8,54.36.43.255,ES
54.36.44.0,54.36.44.255,FR
54.36.45.0,54.36.45.255,BE
54.36.46.0,54.36.46.255,GB
54.36.47.0,54.36.63.255,FR
54.36.64.0,54.36.64.255,ES
54.36.65.0,54.36.65.255,DE
54.36.66.0,54.36.66.255,GB
54.36.67.0,54.36.67.255,ES
54.36.68.0,54.36.69.15,FR
54.36.69.16,54.36.69.255,PT
54.36.70.0,54.36.71.203,FR
54.36.71.204,54.36.71.255,DE
54.36.72.0,54.36.72.255,FR
54.36.73.0,54.36.73.255,GB
54.36.74.0,54.36.75.127,FR
54.36.75.128,54.36.75.255,BE
54.36.76.0,54.36.76.255,IT
54.36.77.0,54.36.77.255,ES
54.36.78.0,54.36.78.255,GB
54.36.79.0,54.36.79.255,FR
54.36.80.0,54.36.80.255,DE
54.36.81.0,54.36.82.255,FR
54.36.83.0,54.36.83.255,PL
54.36.84.0,54.36.85.31,FR
54.36.85.32,54.36.85.255,ES
54.36.86.0,54.36.86.255,FI
54.36.87.0,54.36.87.255,FR
54.36.88.0,54.36.88.255,IT
54.36.89.0,54.36.89.255,NL
54.36.90.0,54.36.91.255,FR
54.36.92.0,54.36.92.255,GB
54.36.93.0,54.36.93.255,FR
54.36.94.0,54.36.94.255,BE
54.36.95.0,54.36.107.255,FR
54.36.108.0,54.36.119.255,DE
54.36.120.0,54.36.128.87,FR
54.36.128.88,54.36.128.255,ES
54.36.129.0,54.36.130.147,FR
54.36.130.148,54.36.130.255,ES
54.36.131.0,54.36.132.191,FR
54.36.132.192,54.36.132.255,ES
54.36.133.0,54.36.134.31,FR
54.36.134.32,54.36.134.255,PL
54.36.135.0,54.36.136.39,FR
54.36.136.40,54.36.136.255,BE
54.36.137.0,54.36.137.255,DE
54.36.138.0,54.36.138.255,ES
54.36.139.0,54.36.139.255,FR
54.36.140.0,54.36.140.255,IT
54.36.141.0,54.36.141.255,FR
54.36.142.0,54.36.143.31,ES
54.36.143.32,54.36.144.255,FR
54.36.145.0,54.36.145.255,ES
54.36.146.0,54.36.147.39,FR
54.36.147.40,54.36.147.255,ES
54.36.148.0,54.36.151.255,FR
54.36.152.0,54.36.152.255,IT
54.36.153.0,54.36.153.255,PL
54.36.154.0,54.36.154.255,FR
54.36.155.0,54.36.155.255,IT
54.36.156.0,54.36.156.255,PT
54.36.157.0,54.36.158.55,FR
54.36.158.56,54.36.158.255,IT
54.36.159.0,54.36.159.255,DE
54.36.160.0,54.36.167.255,GB
54.36.168.0,54.36.175.255,PL
54.36.176.0,54.36.183.255,FR
54.36.184.0,54.36.187.255,PL
54.36.188.0,54.36.192.47,FR
54.36.192.48,54.36.192.255,PT
54.36.193.0,54.36.194.15,FR
54.36.194.16,54.36.194.255,DE
54.36.195.0,54.36.195.255,GB
54.36.196.0,54.36.196.255,LT
54.36.197.0,54.36.198.39,FR
54.36.198.40,54.36.198.255,GB
54.36.199.0,54.36.199.255,ES
54.36.200.0,54.36.200.255,FR
54.36.201.0,54.36.201.255,ES
54.36.202.0,54.36.203.31,FR
54.36.203.32,54.36.203.255,PT
54.36.204.0,54.36.204.255,IE
54.36.205.0,54.36.206.55,FR
54.36.206.56,54.36.206.255,ES
54.36.207.0,54.36.210.31,FR
54.36.210.32,54.36.210.255,PL
54.36.211.0,54.36.212.255,FR
54.36.213.0,54.36.213.255,ES
54.36.214.0,54.36.215.63,FR
54.36.215.64,54.36.215.255,IT
54.36.216.0,54.36.216.255,FR
54.36.217.0,54.36.217.255,BE
54.36.218.0,54.36.219.23,FR
54.36.219.24,54.36.219.255,PL
54.36.220.0,54.36.220.255,FR
54.36.221.0,54.36.221.255,IT
54.36.222.0,54.36.223.31,FR
54.36.223.32,54.36.223.255,RU
54.36.224.0,54.36.225.63,GB
54.36.225.64,54.36.225.255,FR
54.36.226.0,54.36.227.199,GB
54.36.227.200,54.36.227.255,FR
54.36.228.0,54.36.229.15,GB
54.36.229.16,54.36.229.255,DE
54.36.230.0,54.36.231.31,GB
54.36.231.32,54.36.232.19,DE
54.36.232.20,54.36.232.255,FR
54.36.233.0,54.36.234.23,DE
54.36.234.24,54.36.234.255,PL
54.36.235.0,54.36.236.59,DE
54.36.236.60,54.36.236.255,FR
54.36.237.0,54.36.238.35,DE
54.36.238.36,54.36.238.255,ES
54.36.239.0,54.36.239.255,DE
54.36.240.0,54.36.240.255,BE
54.36.241.0,54.36.241.255,FR
54.36.242.0,54.36.242.255,DE
54.36.243.0,54.36.243.255,ES
54.36.244.0,54.36.244.255,FR
54.36.245.0,54.36.245.255,DE
54.36.246.0,54.36.247.255,FR
54.36.248.0,54.36.248.255,BE
54.36.249.0,54.36.251.47,FR
54.36.251.48,54.36.251.255,NL
54.36.252.0,54.36.255.255,FR
54.37.0.0,54.37.7.255,GB
54.37.8.0,54.37.15.255,FR
54.37.16.0,54.37.19.255,GB
54.37.20.0,54.37.34.143,FR
54.37.34.144,54.37.34.255,ES
54.37.35.0,54.37.36.23,FR
54.37.36.24,54.37.36.255,ES
54.37.37.0,54.37.41.255,FR
54.37.42.0,54.37.42.255,IT
54.37.43.0,54.37.44.255,FR
54.37.45.0,54.37.45.255,IE
54.37.46.0,54.37.47.15,FR
54.37.47.16,54.37.47.255,GB
54.37.48.0,54.37.49.75,FR
54.37.49.76,54.37.49.127,NL
54.37.49.128,54.37.53.143,FR
54.37.53.144,54.37.53.255,ES
54.37.54.0,54.37.54.255,GB
54.37.55.0,54.37.55.255,DE
54.37.56.0,54.37.56.255,FR
54.37.57.0,54.37.57.255,NL
54.37.58.0,54.37.58.255,FR
54.37.59.0,54.37.59.255,PT
54.37.60.0,54.37.62.39,FR
54.37.62.40,54.37.62.255,ES
54.37.63.0,54.37.71.255,FR
54.37.72.0,54.37.79.255,DE
54.37.80.0,54.37.87.255,FR
54.37.88.0,54.37.91.143,DE
54.37.91.144,54.37.91.255,FR
54.37.92.0,54.37.92.255,DE
