62.0.0.0,62.0.255.255,IL
62.1.0.0,62.1.78.239,GR
62.1.78.240,62.1.78.255,NL
62.1.79.0,62.1.98.111,GR
62.1.98.112,62.1.98.255,NL
62.1.99.0,62.1.169.191,GR
62.1.169.192,62.1.169.255,IT
62.1.170.0,62.1.255.255,GR
62.2.0.0,62.2.255.255,CH
62.3.0.0,62.3.31.255,SA
62.3.32.0,62.3.32.255,GB
62.3.33.0,62.3.53.255,SA
62.3.54.0,62.3.56.255,GB
62.3.57.0,62.3.61.255,SA
62.3.62.0,62.3.62.255,GB
62.3.63.0,62.3.63.255,SA
62.3.64.0,62.3.127.255,GB
62.3.128.0,62.3.159.255,SE
62.3.160.0,62.3.191.255,PL
62.3.192.0,62.3.255.255,GB
62.4.0.0,62.4.31.255,FR
62.4.32.0,62.4.63.255,ME
62.4.64.0,62.4.68.31,DE
62.4.68.32,62.4.68.207,NL
62.4.68.208,62.4.71.255,DE
62.4.72.0,62.4.72.127,FR
62.4.72.128,62.4.76.127,DE
62.4.76.128,62.4.76.191,FR
62.4.76.192,62.4.81.79,DE
62.4.81.80,62.4.81.255,GB
62.4.82.0,62.4.95.255,DE
62.4.96.0,62.4.107.255,CZ
62.4.108.0,62.4.108.255,KG
62.4.109.0,62.4.109.255,GE
62.4.110.0,62.4.110.255,AM
62.4.111.0,62.4.111.255,UA
62.4.112.0,62.4.112.255,RS
62.4.113.0,62.4.113.255,BA
62.4.114.0,62.4.114.255,MD
62.4.115.0,62.4.115.255,AF
62.4.116.0,62.4.127.255,CZ
62.4.128.0,62.4.255.255,BE
62.5.0.0,62.5.127.255,GB
62.5.128.0,62.5.255.255,RU
62.6.0.0,62.6.145.15,GB
62.6.145.16,62.6.145.255,NE
62.6.146.0,62.6.220.191,GB
62.6.220.192,62.6.220.255,NE
62.6.221.0,62.7.255.255,GB
62.8.0.0,62.8.31.255,RE
62.8.32.0,62.8.63.255,DE
62.8.64.0,62.8.68.255,KE
62.8.69.0,62.8.69.255,UG
62.8.70.0,62.8.90.255,KE
62.8.91.0,62.8.91.255,TZ
62.8.92.0,62.8.95.255,KE
62.8.96.0,62.8.127.255,GB
62.8.128.0,62.8.255.255,DE
62.9.0.0,62.9.0.255,GB
62.9.1.0,62.9.1.255,IE
62.9.2.0,62.9.16.255,GB
62.9.17.0,62.9.17.255,IE
62.9.18.0,62.9.18.255,GB
62.9.19.0,62.9.19.255,IE
62.9.20.0,62.9.25.255,GB
62.9.26.0,62.9.26.255,IE
62.9.27.0,62.9.40.255,GB
62.9.41.0,62.9.42.255,IE
62.9.43.0,62.9.43.255,GB
62.9.44.0,62.9.44.255,IE
62.9.45.0,62.9.45.255,GB
62.9.46.0,62.9.47.255,IE
62.9.48.0,62.9.49.255,GB
62.9.50.0,62.9.50.255,IE
62.9.51.0,62.9.51.255,GB
62.9.52.0,62.9.52.255,IE
62.9.53.0,62.9.55.255,GB
62.9.56.0,62.9.57.255,IE
62.9.58.0,62.9.59.255,GB
62.9.60.0,62.9.60.255,IE
62.9.61.0,62.9.61.255,GB
62.9.62.0,62.9.62.255,IE
62.9.63.0,62.9.72.255,GB
62.9.73.0,62.9.73.255,IE
62.9.74.0,62.9.75.255,GB
62.9.76.0,62.9.76.255,IE
62.9.77.0,62.9.85.255,GB
62.9.86.0,62.9.86.255,IE
62.9.87.0,62.9.87.255,GB
62.9.88.0,62.9.88.255,IE
62.9.89.0,62.9.91.255,GB
62.9.92.0,62.9.92.255,IE
62.9.93.0,62.9.115.255,GB
62.9.116.0,62.9.116.255,IE
62.9.117.0,62.9.120.255,GB
62.9.121.0,62.9.121.255,IE
62.9.122.0,62.9.125.255,GB
62.9.126.0,62.9.126.255,IE
62.9.127.0,62.9.136.255,GB
62.9.137.0,62.9.137.255,IE
62.9.138.0,62.9.138.255,GB
62.9.139.0,62.9.139.255,IE
62.9.140.0,62.9.143.255,GB
62.9.144.0,62.9.144.255,IE
62.9.145.0,62.9.150.255,GB
62.9.151.0,62.9.151.255,IE
62.9.152.0,62.9.154.255,GB
62.9.155.0,62.9.155.255,IE
62.9.156.0,62.9.170.255,GB
62.9.171.0,62.9.171.255,IE
62.9.172.0,62.9.172.255,GB
62.9.173.0,62.9.173.255,IE
62.9.174.0,62.9.178.255,GB
62.9.179.0,62.9.179.255,IE
62.9.180.0,62.9.182.255,GB
62.9.183.0,62.9.183.255,IE
62.9.184.0,62.9.185.255,GB
62.9.186.0,62.9.186.255,IE
62.9.187.0,62.9.199.255,GB
62.9.200.0,62.9.200.255,IE
62.9.201.0,62.9.218.255,GB
62.9.219.0,62.9.219.255,IE
62.9.220.0,62.9.220.255,GB
62.9.221.0,62.9.221.255,IE
62.9.222.0,62.9.227.255,GB
62.9.228.0,62.9.228.255,IE
62.9.229.0,62.9.232.255,GB
62.9.233.0,62.9.233.255,IE
62.9.234.0,62.9.255.255,GB
62.10.0.0,62.11.255.255,IT
62.12.0.0,62.12.31.255,NL
62.12.32.0,62.12.34.23,DK
62.12.34.24,62.12.34.255,FI
62.12.35.0,62.12.35.167,MW
62.12.35.168,62.12.40.119,DK
62.12.40.120,62.12.40.155,SD
62.12.40.156,62.12.63.255,DK
62.12.64.0,62.12.79.255,CY
62.12.80.0,62.12.80.255,RU
62.12.81.0,62.12.95.255,CY
62.12.96.0,62.12.111.255,SD
62.12.112.0,62.12.119.255,KE
62.12.120.0,62.12.127.255,EG
62.12.128.0,62.12.255.255,CH
62.13.0.0,62.13.49.255,SE
62.13.50.0,62.13.50.63,NO
62.13.50.64,62.13.127.255,SE
62.13.128.0,62.13.159.255,GB
62.13.160.0,62.13.191.255,IT
62.13.192.0,62.13.211.255,AT
62.13.212.0,62.13.213.255,US
62.13.214.0,62.13.223.255,AT
62.13.224.0,62.15.255.255,ES
62.16.0.0,62.16.31.255,UA
62.16.32.0,62.16.63.255,RU
62.16.64.0,62.16.79.255,US
62.16.80.0,62.16.95.255,SY
62.16.96.0,62.16.127.255,RU
62.16.128.0,62.16.255.255,NO
62.17.0.0,62.17.0.255,IE
62.17.1.0,62.17.3.15,GB
62.17.3.16,62.17.4.255,IE
62.17.5.0,62.17.8.255,GB
62.17.9.0,62.17.9.255,IE
62.17.10.0,62.17.17.7,GB
62.17.17.8,62.17.18.255,IE
62.17.19.0,62.17.20.191,GB
62.17.20.192,62.17.21.255,IE
62.17.22.0,62.17.24.159,GB
62.17.24.160,62.17.24.207,IE
62.17.24.208,62.17.25.255,GB
62.17.26.0,62.17.26.223,IE
62.17.26.224,62.17.27.255,GB
62.17.28.0,62.17.31.255,IE
62.17.32.0,62.17.35.95,GB
62.17.35.96,62.17.36.255,IE
62.17.37.0,62.17.37.255,GB
62.17.38.0,62.17.41.255,IE
62.17.42.0,62.17.45.255,GB
62.17.46.0,62.17.46.255,IE
62.17.47.0,62.17.47.255,GB
62.17.48.0,62.17.48.255,IE
62.17.49.0,62.17.51.255,GB
62.17.52.0,62.17.52.255,IE
62.17.53.0,62.17.54.255,GB
62.17.55.0,62.17.55.255,IE
62.17.56.0,62.17.60.255,GB
62.17.61.0,62.17.61.255,IE
62.17.62.0,62.17.74.255,GB
62.17.75.0,62.17.75.255,IE
62.17.76.0,62.17.77.255,GB
62.17.78.0,62.17.78.255,IE
62.17.79.0,62.17.79.255,GB
62.17.80.0,62.17.80.255,IE
62.17.81.0,62.17.81.255,GB
62.17.82.0,62.17.82.255,IE
62.17.83.0,62.17.84.255,GB
62.17.85.0,62.17.86.255,IE
62.17.87.0,62.17.87.255,GB
62.17.88.0,62.17.89.255,IE
62.17.90.0,62.17.93.255,GB
62.17.94.0,62.17.94.255,IE
62.17.95.0,62.17.97.255,GB
62.17.98.0,62.17.98.255,IE
62.17.99.0,62.17.99.255,GB
62.17.100.0,62.17.100.255,IE
62.17.101.0,62.17.116.255,GB
62.17.117.0,62.17.117.255,IE
62.17.118.0,62.17.126.255,GB
62.17.127.0,62.17.127.255,IE
62.17.128.0,62.17.129.63,GB
62.17.129.64,62.17.129.255,IE
62.17.130.0,62.17.130.255,GB
62.17.131.0,62.17.131.255,IE
62.17.132.0,62.17.133.255,GB
62.17.134.0,62.17.135.63,IE
62.17.135.64,62.17.136.63,GB
62.17.136.64,62.17.136.127,IE
62.17.136.128,62.17.137.255,GB
62.17.138.0,62.17.139.255,IE
62.17.140.0,62.17.140.255,GB
62.17.141.0,62.17.141.255,IE
62.17.142.0,62.17.142.255,GB
62.17.143.0,62.17.144.255,IE
62.17.145.0,62.17.146.47,GB
